Date,CPI,SPY,DGS6MO,UNRATE,G17
11-Nov,227.169,-0.004063891,0.0465,8.6,92.6772
11-Dec,227.223,0.004080474,0.048571429,8.5,93.5741
12-Jan,227.842,0.053010887,0.0655,8.3,93.3793
12-Feb,228.329,0.043405306,0.124,8.3,93.0051
12-Mar,228.807,0.027660174,0.142272727,8.2,93.978
12-Apr,229.187,-0.002322412,0.139047619,8.2,93.6525
12-May,228.713,-0.06005577,0.145454545,8.2,93.7878
12-Jun,228.524,0.035216739,0.148095238,8.2,94.0378
12-Jul,228.59,0.017072375,0.145714286,8.2,94.5146
12-Aug,229.918,0.025052849,0.140434783,8.1,95.1263
12-Sep,231.015,0.019906701,0.137368421,7.8,95.0732
12-Oct,231.638,-0.012957201,0.149047619,7.8,95.7291
12-Nov,231.249,0.005659273,0.1445,7.7,95.7455
12-Dec,231.221,0.001829099,0.1195,7.9,96.2147
13-Jan,231.679,0.058645745,0.107619048,8,96.8051
13-Feb,232.937,0.012758874,0.124210526,7.7,97.1033
13-Mar,232.282,0.033375177,0.1145,7.5,96.5973
13-Apr,231.797,0.023745736,0.094090909,7.6,97.3006
13-May,231.893,0.023609842,0.080909091,7.5,97.5046
13-Jun,232.445,-0.018538164,0.0875,7.5,97.4903
13-Jul,232.9,0.057241663,0.073636364,7.3,97.7234
13-Aug,233.456,-0.029992324,0.071818182,7.2,97.313
13-Sep,233.544,0.026642701,0.0415,7.2,97.2405
13-Oct,233.669,0.051406377,0.075909091,7.2,97.561
13-Nov,234.1,0.02963777,0.098421053,6.9,97.9589
13-Dec,234.719,0.020386527,0.095238095,6.7,98.2061
14-Jan,235.288,-0.030010496,0.069047619,6.6,98.199
14-Feb,235.547,0.045515838,0.081052632,6.7,98.6835
14-Mar,236.028,0.003864844,0.078571429,6.7,99.0994
14-Apr,236.468,0.011396115,0.053333333,6.2,98.9898
14-May,236.918,0.023206089,0.051904762,6.3,99.0782
14-Jun,237.231,0.015777672,0.06047619,6.1,99.2141
14-Jul,237.498,-0.008710502,0.059545455,6.2,98.9132
14-Aug,237.46,0.039463643,0.052380952,6.1,99.4891
14-Sep,237.477,-0.018384547,0.043809524,5.9,100.0172
14-Oct,237.43,0.028335259,0.050454545,5.7,99.9038
14-Nov,236.983,0.027471881,0.069444444,5.8,100.1479
14-Dec,236.252,-0.00801152,0.106363636,5.6,100.3576
15-Jan,234.747,-0.02427369,0.083,5.7,99.9828
15-Feb,235.342,0.056204818,0.071052632,5.5,100.7485
15-Mar,235.976,-0.020079992,0.11,5.4,101.7391
15-Apr,236.222,0.014341824,0.093636364,5.4,101.8023
15-May,237.001,0.012855981,0.0795,5.6,102.2116
15-Jun,237.657,-0.025054466,0.086818182,5.3,102.5637
